PBAT : Size=1440, Index=answers
    Key  : Lower : Value                : Upper : Fixed : Stale : Domain
      85 :  -5.6 :  0.00999982419353948 :   5.6 : False : False :  Reals
      86 :  -5.6 : 0.010000387521026263 :   5.6 : False : False :  Reals
      87 :  -5.6 : 0.010000950971094446 :   5.6 : False : False :  Reals
      88 :  -5.6 : 0.010001514543781825 :   5.6 : False : False :  Reals
      89 :  -5.6 : 0.010002078239125948 :   5.6 : False : False :  Reals
      90 :  -5.6 : 0.010002642057164612 :   5.6 : False : False :  Reals
      91 :  -5.6 : 0.010003205997935277 :   5.6 : False : False :  Reals
      92 :  -5.6 : 0.010003770061475778 :   5.6 : False : False :  Reals
      93 :  -5.6 : 0.010004334247823786 :   5.6 : False : False :  Reals
      94 :  -5.6 :  0.01000489855701698 :   5.6 : False : False :  Reals
      95 :  -5.6 : 0.010005462989093158 :   5.6 : False : False :  Reals
      96 :  -5.6 : 0.010006027544090027 :   5.6 : False : False :  Reals
      97 :  -5.6 : 0.010006592222045372 :   5.6 : False : False :  Reals
      98 :  -5.6 : 0.010007157022996963 :   5.6 : False : False :  Reals
      99 :  -5.6 :  0.01000772194698261 :   5.6 : False : False :  Reals
     100 :  -5.6 : 0.010008286994040117 :   5.6 : False : False :  Reals
     101 :  -5.6 : 0.010008852164207329 :   5.6 : False : False :  Reals
     102 :  -5.6 : 0.010009417457522079 :   5.6 : False : False :  Reals
     103 :  -5.6 : 0.010009982874022237 :   5.6 : False : False :  Reals
     104 :  -5.6 : 0.010010548413745683 :   5.6 : False : False :  Reals
     105 :  -5.6 : 0.010011114076730316 :   5.6 : False : False :  Reals
     106 :  -5.6 : 0.010011679863014029 :   5.6 : False : False :  Reals
     107 :  -5.6 : 0.010012245772634827 :   5.6 : False : False :  Reals
     108 :  -5.6 :  0.01001281180563047 :   5.6 : False : False :  Reals
     109 :  -5.6 : 0.010013377962039095 :   5.6 : False : False :  Reals
     110 :  -5.6 : 0.010013944241898652 :   5.6 : False : False :  Reals
     111 :  -5.6 :  0.01001451064524705 :   5.6 : False : False :  Reals
     112 :  -5.6 : 0.010015077172122378 :   5.6 : False : False :  Reals
     113 :  -5.6 : 0.010015643822562604 :   5.6 : False : False :  Reals
     114 :  -5.6 : 0.010016210596605844 :   5.6 : False : False :  Reals
     115 :  -5.6 : 0.010016777494290068 :   5.6 : False : False :  Reals
     116 :  -5.6 : 0.010017344515653392 :   5.6 : False : False :  Reals
     117 :  -5.6 :   0.0100179116607339 :   5.6 : False : False :  Reals
     118 :  -5.6 : 0.010018478929569771 :   5.6 : False : False :  Reals
     119 :  -5.6 : 0.010019046322198905 :   5.6 : False : False :  Reals
     120 :  -5.6 :  0.01001961383865969 :   5.6 : False : False :  Reals
     121 :  -5.6 : 0.010020181478990134 :   5.6 : False : False :  Reals
     122 :  -5.6 : 0.010020749243228523 :   5.6 : False : False :  Reals
     123 :  -5.6 : 0.010021317131412853 :   5.6 : False : False :  Reals
     124 :  -5.6 : 0.010021885143581514 :   5.6 : False : False :  Reals
     125 :  -5.6 : 0.010022453279772707 :   5.6 : False : False :  Reals
     126 :  -5.6 : 0.010023021540024555 :   5.6 : False : False :  Reals
     127 :  -5.6 : 0.010023589924375343 :   5.6 : False : False :  Reals
     128 :  -5.6 : 0.010024158432863417 :   5.6 : False : False :  Reals
     129 :  -5.6 : 0.010024727065527001 :   5.6 : False : False :  Reals
     130 :  -5.6 : 0.010025295822404412 :   5.6 : False : False :  Reals
     131 :  -5.6 : 0.010025864703533961 :   5.6 : False : False :  Reals
     132 :  -5.6 : 0.010026433708953987 :   5.6 : False : False :  Reals
     133 :  -5.6 : 0.010027002838702833 :   5.6 : False : False :  Reals
     134 :  -5.6 : 0.010027572092818866 :   5.6 : False : False :  Reals
