FutureStage, EarlyLeaveLongCommuteNode, P_EV_ChargeHome_rec, 21, 1.1272716901714555
FutureStage, EarlyLeaveLongCommuteNode, P_EV_ChargeHome_rec, 22, 0.7959446345253638
FutureStage, EarlyLeaveLongCommuteNode, P_EV_ChargeHome_rec, 23, 0.8241008395894484
FutureStage, EarlyLeaveLongCommuteNode, P_EV_ChargeHome_rec, 4, 1.631118027807386
FutureStage, EarlyLeaveLongCommuteNode, P_EV_ChargeHome_rec, 5, 2.0769376764532783
FutureStage, EarlyLeaveLongCommuteNode, P_EV_ChargeHome_rec, 6, 0.0
FutureStage, EarlyLeaveLongCommuteNode, P_EV_ChargeHome_rec, 7, 0.0
FutureStage, EarlyLeaveLongCommuteNode, P_EV_ChargeHome_rec, 8, 0.0
FutureStage, EarlyLeaveLongCommuteNode, P_EV_ChargeHome_rec, 9, 0.0
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 10, -8.2288564112974e-08
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 11, -4.798241859363229e-08
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 12, -1.7421996456032554e-09
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 13, -2.4535244033745286e-09
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 14, -1.3950508412073842e-07
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 15, -1.6975073478632478e-07
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 16, -3.409096459706435e-09
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 17, -1.4987567730600138e-09
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 18, -3.6992784921888494e-08
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 19, -2.3672575618577643e-08
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 20, -3.6187486682865357e-09
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 21, -1.2791417952831441e-08
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 22, -2.0714319046347077e-08
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 23, 1.3220572621076306e-09
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 4, 1.5914542896091255
FutureStage, EarlyLeaveLongCommuteNode, P_Grid_Output_rec, 5, 0.8885313201372358
